"Source:","/media/andi/PortableApps/home assistant/KiCAD/CC dimmer low voltage/CC dimmer low voltage.kicad_sch"
"Date:","Wed 29 Dec 2021 11:27:57 CET"
"Tool:","Eeschema 6.0.0-d3dd2cf0fa~116~ubuntu20.04.1"
"Generator:","/usr/share/kicad/plugins/bom_csv_grouped_by_value.py"
"Component Count:","99"

"Individual Components:"

"Item","Qty","Reference(s)","Value","LibPart","Footprint","Datasheet","LCSC","Purchase"
"","","L41","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
"","","L51","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
"","","L61","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
"","","L71","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
"","","L81","100u","Device:L_Core_Ferrite_Small","Inductor_SMD:L_Bourns_SRN6045TA","https://datasheet.lcsc.com/lcsc/1912181207_GLE-GCNR6045-101MC_C439379.pdf","C439379","https://www.lcsc.com/product-detail/Power-Inductors_GLE-GCNR6045-101MC_C439379.html"
"","","LED1","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","LED2","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","LED3","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","LED4","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
"","","LED5","Screw_Terminal_01x02","Connector:Screw_Terminal_01x02","TerminalBlock_Phoenix:TerminalBlock_Phoenix_MKDS-1,5-2-5.08_1x02_P5.08mm_Horizontal","https://datasheet.lcsc.com/lcsc/1810161730_HIWA-PA001-2P_C128027.pdf","C128027","https://www.lcsc.com/product-detail/Screw-terminal_HIWA-PA001-2P_C128027.html"
